"Office","State","District","City","Party","Spent","Received","Debt","Contribution","Win"
"H","WA",8,"ISSAQUAH","DEM",27145.73,22920.02,3723.1,24340.8,"No"
"H","IA",1,"CEDAR RAPIDS","DEM",2574611.86,2415602.44,150600,2397194.99,"No"
"H","VA",4,"HENRICO","REP",116577,112488.98,26659.56,95577,"No"
"H","TX",21,"SAN ANTONIO","DEM",64497,62313,12151,52345,"No"
"H","IL",14,"GURNEE","DEM",21826,20343.45,1000,20826,"No"
"H","KS",4,"KIOWA","IND",100207.45,75299.67,73618.98,44088.86,"No"
"H","IA",4,"SHELDON","DEM",146340.5,103874.47,5002.36,141338.14,"No"
"H","AZ",4,"GOLDEN VALLEY","DEM",32267.58,28578.92,19513.87,31767.58,"No"
"H","FL",8,"VERO BEACH","DEM",36521.6,53768.39,11570.33,25921.6,"No"
"H","CA",47,"LONG BEACH","REP",67698.65,65765.67,116300,5740,"No"
"H","VA",3,"CHESAPEAKE","REP",67134.31,58746.89,12500,54622.31,"No"
"H","NY",24,"BALDWINSVILLE","DEM",328750.99,328162.69,74000,253595,"No"
"H","AZ",6,"SCOTTSDALE","DEM",5926.36,5911.62,11889.41,1626.36,"No"
"H","OR",5,"STAYTON","REP",251745.09,238415.87,9000,242745.09,"No"
"H","MI",4,"DEWITT","W",13722.2,11587.8,11607.2,2115,"No"
"H","MA",3,"HAVERHILL","REP",40003.49,19181.85,32900,25003.49,"No"
"H","CA",33,"REDONDO BEACH","REP",68390.55,64774.7,6000,61340,"No"
"H","OH",1,"CINCINNATI","DEM",204668.07,162016.96,52000,152633.07,"No"
"H","NY",12,"NY","DEM",6996.01,18634.21,6600,2600,"No"
"H","NV",1,"LAS VEGAS","REP",73862.55,73862.55,33396.27,40466.28,"No"
"H","TX",21,"BOERNE","REP",183785.09,184971.63,2746.17,131048.77,"No"
